sample_id,route_file_sha256,map_id,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,label_status,true_label,route_id,match_status,candidate_file_available,npz_readable,source_machine,feature_version,exclusion_reason
UNMATCHED-SHANYU000-6ac768482e23e7d7,6ac768482e23e7d72cba6cb15af736351c392b3b272b7aa3aa043cb0f8f6c4e4,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6af51465026af813,6af51465026af813ae401de6171b8072df74498880d9bfe0d06da9122f33f667,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6b7fedaf626613d3,6b7fedaf626613d3927d1c62a45a818f6fbd2e6ace4adb26aaaea8a9ede2c831,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6b88c8fbac297a98,6b88c8fbac297a98ee78dd68929e98c90f9e0f9d6a807842ceea2cc2c424fcdc,turnaround_4,six_axis,structural_inference,6,unmatched_candidate,,turnaround_4,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6b9b846c5ab6b18f,6b9b846c5ab6b18f13473e61d0ad979a88bda6840fb65b762d89f060548f0a20,turnaround_1,five_axis,explicit,5,unmatched_candidate,,turnaround_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6ba5c95cae9a3e1d,6ba5c95cae9a3e1d418f92c7e3e4c1caebe06f8adcb749086b7754ecc2387bc0,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6bc2133e22fb8593,6bc2133e22fb85933de5eb3ab91513d6f3a37cb3ebcf01d279d3855b90192dfb,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6be84e1ee0e71edc,6be84e1ee0e71edcbc7f8bea4d6a6a708a70e344d1ea0c74c6b7c866c77ccb3e,narrow_4,six_axis,structural_inference,6,unmatched_candidate,,narrow_4,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6be95ad74c0248f9,6be95ad74c0248f92b0d17ee4d8540a62a31d192d5c85991f480a0c50808969d,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6bfd572e3ca1e6d2,6bfd572e3ca1e6d2dcbeaac06a99a5e7756141874c476d882293d5dbe89fed72,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
